NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
HR047;00248;BJELOVAR;BJELOVAR;no;40276;187860115;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR037;00256;BLATO;BLATO;no;3593;66538495;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04C;00264;BOGDANOVCI;BOGDANOVCI;no;1960;51619841;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR035;00272;BOL;BOL;no;1630;23328828;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04C;00299;BOROVO;BOROVO;no;5056;28200746;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04D;00302;BOSILJEVO;BOSILJEVO;no;1284;111457464;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04C;00329;BOŠNJACI;BOŠNJACI;no;3901;94989534;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR042;00337;BRCKOVLJANI;BRCKOVLJANI;no;6837;69829043;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR042;00345;BRDOVEC;BRDOVEC;no;11134;37225348;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR035;00779;BRELA;BRELA;no;1703;26802819;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR049;00353;BRESTOVAC;BRESTOVAC;no;3726;279515317;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR044;00361;BREZNICA;BREZNICA;no;2200;33523342;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR044;01511;BREZNIČKI HUM;BREZNIČKI HUM;no;1356;26048736;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR032;00370;BRINJE;BRINJE;no;3256;328657874;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00388;BROD MORAVICE;BROD MORAVICE;no;866;62017221;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;00396;BRODSKI STUPNIK;BRODSKI STUPNIK;no;3036;57883680;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR003L;no;Slavonski Brod
HR036;00400;BRTONIGLA - VERTENEGLIO;BRTONIGLA - VERTENEGLIO;no;1626;32922758;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR043;00418;BUDINŠČINA;BUDINŠČINA;no;2503;55025338;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR036;00426;BUJE - BUIE;BUJE - BUIE;no;5182;99242461;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;05673;BUKOVLJE;BUKOVLJE;no;3108;31013980;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR003L;no;Slavonski Brod
HR036;00434;BUZET;BUZET;no;6133;169044092;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04C;00442;CERNA;CERNA;no;4595;69536542;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;00469;CERNIK;CERNIK;no;3640;127858384;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR036;00477;CEROVLJE;CEROVLJE;no;1677;105644441;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR044;00485;CESTICA;CESTICA;no;5806;46145359;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04D;00493;CETINGRAD;CETINGRAD;no;2027;136823814;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR035;00507;CISTA PROVO;CISTA PROVO;no;2335;108099250;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR005L;no;Split
HR034;00515;CIVLJANE;CIVLJANE;no;239;82902762;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00523;CRES;CRES;no;2879;291487426;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00531;CRIKVENICA;CRIKVENICA;no;11122;28517855;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR048;00540;CRNAC;CRNAC;no;1456;79403718;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00558;ČABAR;ČABAR;no;3770;279885140;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR048;00566;ČAČINCI;ČAČINCI;no;2802;144887603;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR048;00574;ČAĐAVICA;ČAĐAVICA;no;2009;91149141;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR049;00582;ČAGLIN;ČAGLIN;no;2723;178228866;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR046;00604;ČAKOVEC;ČAKOVEC;no;27104;76938863;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00612;ČAVLE;ČAVLE;no;7220;84712699;2;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;HR002L;no;Rijeka
HR047;00639;ČAZMA;ČAZMA;no;8077;239926864;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
