NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
UKJ45;E07000110;Maidstone;;No;166360;393350700;1;No;;;UK554C1;No;Maidstone;;;;;;
UKH23;E07000096;Dacorum;;No;152692;212476500;1;No;;;UK556C1;No;Dacorum;;;;;;
UKK42;E06000027;Torbay;;No;133883;119467100;1;No;;;UK561C1;No;Torbay;;;;;;
UKJ11;E06000039;Slough;;No;147181;32541900;1;No;;;UK567C1;No;Slough;;;;;;
UKK13;E07000081;Gloucester;;No;128488;40826600;1;No;;;UK572C1;No;Gloucester;;;;;;
UKJ11;E06000036;Bracknell Forest;;No;119447;109384300;1;No;;;UK573C1;No;Bracknell Forest;;;;;;
UKD12;E07000028;Carlisle;;No;108409;1054358300;1;No;;;UK575C1;No;Carlisle;;;;;;
UKJ28;E07000226;Crawley;;No;111375;44971100;1;No;;;UK576C1;No;Crawley;;;;;;
UKJ37;E07000092;Rushmoor;;No;96327;39045000;1;No;;;UK580C1;No;Rushmoor;UK580K1;No;Rushmoor;;;
UKF25;E07000150;Corby;;No;68187;80280900;1;No;;;UK582C1;No;Corby;;;;;;
UKF25;E07000153;Kettering;;No;99002;233490000;1;No;;;UK583C1;No;Kettering;;;;;;
UKJ25;E07000214;Surrey Heath;;No;88387;95092900;1;No;;;;;;UK580K1;No;Rushmoor;;;
UKJ13;E07000005;Chiltern;;No;95103;196348300;2;No;;;;;;;;;UK001L3;No;London
UKJ13;E07000006;South Bucks;;No;69636;141275500;2;No;;;;;;;;;UK001L3;No;London
UKH36;E07000068;Brentwood;;No;76386;153124100;2;No;;;;;;;;;UK001L3;No;London
UKH35;E07000072;Epping Forest;;No;130321;338984200;2;No;;;;;;;;;UK001L3;No;London
UKH37;E07000075;Rochford;;No;85670;263411100;2;No;;;;;;;;;UK001L3;No;London
UKH23;E07000095;Broxbourne;;No;96779;51442200;2;No;;;;;;;;;UK001L3;No;London
UKH23;E07000098;Hertsmere;;No;103528;101128100;2;No;;;;;;;;;UK001L3;No;London
UKH23;E07000102;Three Rivers;;No;92533;88824100;2;No;;;;;;;;;UK001L3;No;London
UKJ43;E07000107;Dartford;;No;105543;76310400;2;No;;;;;;;;;UK001L3;No;London
UKJ46;E07000111;Sevenoaks;;No;119142;370347000;2;No;;;;;;;;;UK001L3;No;London
UKJ46;E07000115;Tonbridge and Malling;;No;127293;240973400;2;No;;;;;;;;;UK001L3;No;London
UKJ25;E07000207;Elmbridge;;No;132764;96334300;2;No;;;;;;;;;UK001L3;No;London
UKJ26;E07000208;Epsom and Ewell;;No;79588;34079400;2;No;;;;;;;;;UK001L3;No;London
UKJ26;E07000210;Mole Valley;;No;86223;258321100;2;No;;;;;;;;;UK001L3;No;London
UKJ26;E07000211;Reigate and Banstead;;No;145648;129143900;2;No;;;;;;;;;UK001L3;No;London
UKJ25;E07000213;Spelthorne;;No;98902;51161400;2;No;;;;;;;;;UK001L3;No;London
UKJ26;E07000215;Tandridge;;No;86665;248194800;2;No;;;;;;;;;UK001L3;No;London
UKH23;E07000241;Welwyn Hatfield;;No;121996;129536800;2;No;;;;;;;;;UK001L3;No;London
UKH23;E07000242;East Hertfordshire;;No;146309;475669600;2;No;;;;;;;;;UK001L3;No;London
UKG24;E07000194;Lichfield;;No;103061;331294400;2;No;;;;;;;;;UK002L3;No;West Midlands urban area
UKG24;E07000196;South Staffordshire;;No;111180;407322300;2;No;;;;;;;;;UK002L3;No;West Midlands urban area
UKG13;E07000218;North Warwickshire;;No;63229;284263500;2;No;;;;;;;;;UK002L3;No;West Midlands urban area
UKG12;E07000234;Bromsgrove;;No;96769;216968400;2;No;;;;;;;;;UK002L3;No;West Midlands urban area
UKE22;E07000165;Harrogate;;No;156312;1309127300;2;No;;;;;;;;;UK003L2;No;Leeds
UKE22;E07000169;Selby;;No;86667;602223300;2;No;;;;;;;;;UK003L2;No;Leeds
UKE44;E08000033;Calderdale;;No;209770;363960800;2;No;;;;;;;;;UK003L2;No;Leeds
UKM81;S30000014;West Dunbartonshire;;No;89860;182777900;2;No;;;;;;;;;UK004L1;No;Glasgow
UKM95;S30000025;South Lanarkshire;;No;317100;1774051800;2;No;;;;;;;;;UK004L1;No;Glasgow
UKD47;E07000127;West Lancashire;;No;113401;381095200;2;No;;;;;;;;;UK006L3;No;Liverpool
UKM73;S30000005;East Lothian;;No;104090;700937700;2;No;;;;;;;;;UK007L1;No;Edinburgh
UKM73;S30000006;Midlothian;;No;88610;355275200;2;No;;;;;;;;;UK007L1;No;Edinburgh
UKM78;S30000012;West Lothian;;No;180130;431585000;2;No;;;;;;;;;UK007L1;No;Edinburgh
UKD62;E06000049;Cheshire East;;No;376695;1166357600;2;No;;;;;;;;;UK008L3;No;Greater Manchester
UKF13;E07000037;High Peak;;No;91662;540254100;2;No;;;;;;;;;UK008L3;No;Greater Manchester
UKD46;E07000125;Rossendale;;No;69886;138041200;2;No;;;;;;;;;UK008L3;No;Greater Manchester
UKL22;W06000014;Vale of Glamorgan;;No;128463;339675700;2;No;;;;;;;;;UK009L1;No;Cardiff
UKL15;W06000016;Rhondda Cynon Taf;;No;238306;424150300;2;No;;;;;;;;;UK009L1;No;Cardiff
UKL16;W06000018;Caerphilly;;No;180462;277387900;2;No;;;;;;;;;UK009L1;No;Cardiff
UKF12;E07000038;North East Derbyshire;;No;100423;275623500;2;No;;;;;;;;;UK010L3;No;Sheffield
UKK12;E06000024;North Somerset;;No;211681;390815000;2;No;;;;;;;;;UK011L2;No;Bristol
UKK12;E06000025;South Gloucestershire;;No;277623;536645600;2;No;;;;;;;;;UK011L2;No;Bristol
